ProductKey,CustomerKey,DateKey,GeographyKey,BrandKey,Quantity,Net Price,SalesAmount
2492,18813,1,1,1,1,23.7405,23.7405
1763,4751,1,2,2,1,94.7625,94.7625
1763,4760,1,3,2,1,94.7625,94.7625
1763,4764,1,4,2,1,94.7625,94.7625
1763,4773,1,5,2,1,94.7625,94.7625
1763,4774,1,6,2,1,94.7625,94.7625
1763,4775,1,7,2,1,94.7625,94.7625
1763,4776,1,8,2,1,94.7625,94.7625
1763,4777,1,9,2,1,94.7625,94.7625
1763,4778,1,10,2,1,94.7625,94.7625
1763,4779,1,11,2,1,94.7625,94.7625
1763,4781,1,12,2,1,94.7625,94.7625
1763,4782,1,13,2,1,94.7625,94.7625
1763,4783,1,14,2,1,94.7625,94.7625
1763,4815,1,15,2,1,94.7625,94.7625
2124,17160,1,16,1,1,422.75,422.75
2124,17163,1,17,1,1,422.75,422.75
2124,17165,1,18,1,1,422.75,422.75
197,17599,1,19,3,1,284.905,284.905
197,17600,1,1,3,1,284.905,284.905
197,17602,1,20,3,1,284.905,284.905
197,17604,1,21,3,1,284.905,284.905
197,17605,1,3,3,1,284.905,284.905
197,17607,1,20,3,1,284.905,284.905
192,5963,1,22,3,1,569.05,569.05
192,5964,1,23,3,1,569.05,569.05
192,5966,1,24,3,1,569.05,569.05
192,5967,1,6,3,1,569.05,569.05
192,5968,1,25,3,1,569.05,569.05
192,5969,1,19,3,1,569.05,569.05
192,5971,1,7,3,1,569.05,569.05
1776,15265,1,26,2,1,40.85,40.85
1776,15266,1,3,2,1,40.85,40.85
1776,15267,1,8,2,1,40.85,40.85
1776,15269,1,16,2,1,40.85,40.85
1776,15272,1,19,2,1,40.85,40.85
1666,13528,1,27,2,1,16.0455,16.0455
1666,13529,1,28,2,1,16.0455,16.0455
1666,13530,1,16,2,1,16.0455,16.0455
1666,13531,1,29,2,1,16.0455,16.0455
1666,13999,1,15,2,1,16.0455,16.0455
1666,14000,1,24,2,1,16.0455,16.0455
1666,14155,1,12,2,1,16.0455,16.0455
1666,14156,1,30,2,1,16.0455,16.0455
1666,14162,1,31,2,1,16.0455,16.0455
1666,14163,1,32,2,1,16.0455,16.0455
1666,14170,1,33,2,1,16.0455,16.0455
1666,14185,1,28,2,1,16.0455,16.0455
1666,14186,1,34,2,1,16.0455,16.0455
1666,14192,1,23,2,1,16.0455,16.0455
1666,14966,1,9,2,1,16.0455,16.0455
1666,14967,1,19,2,1,16.0455,16.0455
1666,15058,1,12,2,1,16.0455,16.0455
1666,15060,1,33,2,1,16.0455,16.0455
1666,15061,1,5,2,1,16.0455,16.0455
1666,15062,1,35,2,1,16.0455,16.0455
1666,15066,1,16,2,1,16.0455,16.0455
1666,15083,1,36,2,1,16.0455,16.0455
1666,15084,1,5,2,1,16.0455,16.0455
1666,15085,1,37,2,1,16.0455,16.0455
1666,15090,1,2,2,1,16.0455,16.0455
1666,15091,1,2,2,1,16.0455,16.0455
1666,15092,1,38,2,1,16.0455,16.0455
1666,15099,1,26,2,1,16.0455,16.0455
1666,15107,1,39,2,1,16.0455,16.0455
1666,15108,1,9,2,1,16.0455,16.0455
1666,15109,1,5,2,1,16.0455,16.0455
1666,15204,1,40,2,1,16.0455,16.0455
1666,15539,1,2,2,1,16.0455,16.0455
1666,15541,1,28,2,1,16.0455,16.0455
1666,15594,1,40,2,1,16.0455,16.0455
1666,15685,1,16,2,1,16.0455,16.0455
1666,15691,1,12,2,1,16.0455,16.0455
1666,15692,1,12,2,1,16.0455,16.0455
1666,15699,1,40,2,1,16.0455,16.0455
1666,15705,1,41,2,1,16.0455,16.0455
1666,15706,1,5,2,1,16.0455,16.0455
1666,15708,1,41,2,1,16.0455,16.0455
1666,15709,1,24,2,1,16.0455,16.0455
1666,15723,1,42,2,1,16.0455,16.0455
1666,15724,1,37,2,1,16.0455,16.0455
1666,16453,1,35,2,1,16.0455,16.0455
1666,16460,1,12,2,1,16.0455,16.0455
1666,16461,1,24,2,1,16.0455,16.0455
1666,16528,1,30,2,1,16.0455,16.0455
1666,16529,1,39,2,1,16.0455,16.0455
1666,16530,1,21,2,1,16.0455,16.0455
1666,16616,1,43,2,1,16.0455,16.0455
1666,16620,1,24,2,1,16.0455,16.0455
1666,16621,1,28,2,1,16.0455,16.0455
1666,16622,1,38,2,1,16.0455,16.0455
1666,16631,1,24,2,1,16.0455,16.0455
1666,16632,1,20,2,1,16.0455,16.0455
1666,16641,1,30,2,1,16.0455,16.0455
1666,16642,1,44,2,1,16.0455,16.0455
1666,16646,1,45,2,1,16.0455,16.0455
1666,16647,1,40,2,1,16.0455,16.0455
1666,16648,1,5,2,1,16.0455,16.0455
1666,16662,1,31,2,1,16.0455,16.0455
1666,16664,1,27,2,1,16.0455,16.0455
1666,16665,1,26,2,1,16.0455,16.0455
1666,17076,1,1,2,1,16.0455,16.0455
1666,17077,1,34,2,1,16.0455,16.0455
1666,17084,1,2,2,1,16.0455,16.0455
1666,17085,1,16,2,1,16.0455,16.0455
1666,17147,1,23,2,1,16.0455,16.0455
1666,17236,1,45,2,1,16.0455,16.0455
1666,17237,1,46,2,1,16.0455,16.0455
1666,17238,1,42,2,1,16.0455,16.0455
1666,17239,1,22,2,1,16.0455,16.0455
1666,17243,1,24,2,1,16.0455,16.0455
1666,17244,1,36,2,1,16.0455,16.0455
1666,17245,1,32,2,1,16.0455,16.0455
1666,17253,1,9,2,1,16.0455,16.0455
1666,17254,1,26,2,1,16.0455,16.0455
1666,17260,1,38,2,1,16.0455,16.0455
1666,17268,1,15,2,1,16.0455,16.0455
1666,17269,1,30,2,1,16.0455,16.0455
1666,17288,1,30,2,1,16.0455,16.0455
1666,17289,1,30,2,1,16.0455,16.0455
1666,17290,1,34,2,1,16.0455,16.0455
1666,18049,1,16,2,1,16.0455,16.0455
1666,18128,1,28,2,1,16.0455,16.0455
1666,18129,1,17,2,1,16.0455,16.0455
1666,18130,1,5,2,1,16.0455,16.0455
1666,18220,1,24,2,1,16.0455,16.0455
1666,18221,1,28,2,1,16.0455,16.0455
1666,18222,1,20,2,1,16.0455,16.0455
1666,18229,1,9,2,1,16.0455,16.0455
1666,18235,1,46,2,1,16.0455,16.0455
1666,18236,1,44,2,1,16.0455,16.0455
1666,18237,1,44,2,1,16.0455,16.0455
1666,18239,1,32,2,1,16.0455,16.0455
1666,18240,1,32,2,1,16.0455,16.0455
1666,18244,1,2,2,1,16.0455,16.0455
1666,18245,1,24,2,1,16.0455,16.0455
1666,18246,1,33,2,1,16.0455,16.0455
1666,18252,1,41,2,1,16.0455,16.0455
1666,18253,1,33,2,1,16.0455,16.0455
1666,18262,1,5,2,1,16.0455,16.0455
1666,18275,1,36,2,1,16.0455,16.0455
1666,18355,1,47,2,1,16.0455,16.0455
1666,82,1,30,2,1,16.0455,16.0455
1666,83,1,22,2,1,16.0455,16.0455
1666,84,1,6,2,1,16.0455,16.0455
1666,174,1,48,2,1,16.0455,16.0455
1666,175,1,39,2,1,16.0455,16.0455
1666,178,1,19,2,1,16.0455,16.0455
2145,18813,1,1,4,1,123.405,123.405
744,18813,1,1,1,1,37.905,37.905
2053,18813,1,1,3,1,94.9905,94.9905
2365,18813,1,1,1,1,379.9905,379.9905
1270,18813,1,1,1,1,6.6025,6.6025
1497,18813,1,1,5,1,253.65,253.65
1452,18813,1,1,5,1,278.35,278.35
2206,18813,1,1,4,1,604.1905,604.1905
1552,18813,1,1,5,1,378.1,378.1
956,18813,1,1,6,1,188.1,188.1
755,18813,1,1,1,1,24.225,24.225
2382,18813,1,1,1,1,104.4905,104.4905
1253,18813,1,1,1,1,18.9905,18.9905
1230,18813,1,1,7,1,1453.5,1453.5
1322,18813,1,1,1,1,31.3405,31.3405
929,18813,1,1,8,1,32.2905,32.2905
1261,18813,1,1,1,1,35.1405,35.1405
933,18813,1,1,8,1,52.25,52.25
2290,18813,1,1,9,1,113.9905,113.9905
2345,18813,1,1,3,1,218.4905,218.4905
1646,18813,1,1,1,1,151.9905,151.9905
1010,18813,1,1,6,1,177.555,177.555
300,18813,1,1,8,1,208.05,208.05
1186,18813,1,1,7,1,817.0,817.0
2173,18813,1,1,7,1,154.85,154.85
2104,18813,1,1,1,1,244.625,244.625
1553,18813,1,1,5,1,254.6,254.6
1628,18813,1,1,1,1,13.1955,13.1955
1164,18813,1,1,7,1,171.0,171.0
949,18813,1,1,6,1,254.6,254.6
186,18813,1,1,8,1,85.405,85.405
2235,18813,1,1,10,1,96.8905,96.8905
1593,18813,1,1,8,1,13.1955,13.1955
2493,18813,1,1,1,1,23.7405,23.7405
572,18824,1,49,9,1,180.5,180.5
592,18824,1,49,1,1,474.05,474.05
709,18840,1,50,9,1,110.2,110.2
